year,points,num
2009,590,154
2009,600,143
2009,210,931
2009,150,759
2009,450,1184
2009,570,237
2009,550,368
2009,270,1094
2009,390,1493
2009,110,697
2009,250,1003
2009,490,906
2009,340,1412
2009,280,1160
2009,0,6612
2009,230,933
2009,190,877
2009,320,1282
2009,300,1246
2009,540,460
2009,520,605
2009,400,1394
2009,420,1317
2009,220,887
2009,140,782
2009,500,812
2009,170,792
2009,200,879
2009,310,1310
2009,580,182
2009,560,299
2009,440,1179
2009,460,1110
2009,330,1361
2009,380,1447
2009,260,1049
2009,240,970
2009,370,1371
2009,100,662
2009,160,786
2009,480,946
2009,120,735
2009,350,1450
2009,290,1092
2009,470,1004
2009,130,741
2009,410,1307
2009,360,1328
2009,530,558
2009,510,742
2009,180,822
2009,430,1326
2002,200,5201
2002,600,100
2002,150,4622
2002,450,4565
2002,400,6604
2002,0,6701
2002,550,1063
2002,300,6705
2002,350,7209
2002,250,6018
2002,100,4098
2002,500,2549
2003,200,5202
2003,600,101
2003,150,4501
2003,450,4939
2003,400,6553
2003,0,6336
2003,550,1165
2003,300,7035
2003,350,7365
2003,250,6218
2003,100,3985
2003,500,2837
2001,200,5310
2001,600,116
2001,150,4843
2001,450,4658
2001,400,6489
2001,0,6687
2001,550,1052
2001,300,6992
2001,350,7403
2001,250,6244
2001,100,4263
2001,500,2629
2006,200,4582
2006,600,149
2006,150,4115
2006,450,4737
2006,400,5912
2006,0,5914
2006,550,1290
2006,300,6089
2006,350,6510
2006,250,5293
2006,100,3523
2006,500,2841
2007,590,155
2007,600,176
2007,210,891
2007,150,764
2007,450,1194
2007,570,270
2007,550,386
2007,270,1067
2007,390,1287
2007,110,633
2007,250,983
2007,490,828
2007,340,1310
2007,280,1084
2007,0,5706
2007,230,887
2007,190,824
2007,320,1205
2007,300,1105
2007,540,414
2007,520,602
2007,400,1266
2007,420,1219
2007,220,859
2007,140,738
2007,500,750
2007,170,831
2007,200,858
2007,310,1135
2007,580,223
2007,560,318
2007,440,1150
2007,460,1034
2007,330,1240
2007,380,1327
2007,260,1025
2007,240,863
2007,370,1312
2007,100,667
2007,160,808
2007,480,917
2007,120,667
2007,350,1398
2007,290,1128
2007,470,945
2007,130,724
2007,410,1297
2007,360,1241
2007,530,487
2007,510,662
2007,180,821
2007,430,1189
2004,200,4905
2004,600,158
2004,150,4309
2004,450,4968
2004,400,6482
2004,0,6547
2004,550,1313
2004,300,6769
2004,350,7247
2004,250,5818
2004,100,3830
2004,500,2878
2005,200,4762
2005,600,158
2005,150,4275
2005,450,4946
2005,400,6379
2005,0,6302
2005,550,1188
2005,300,6788
2005,350,6937
2005,250,5581
2005,100,3791
2005,500,2962
2015,590,170
2015,600,215
2015,210,825
2015,150,601
2015,450,1421
2015,570,313
2015,550,476
2015,270,1063
2015,390,1602
2015,110,560
2015,250,958
2015,490,1055
2015,340,1434
2015,280,1105
2015,0,4526
2015,230,945
2015,190,773
2015,320,1361
2015,300,1259
2015,540,563
2015,520,823
2015,400,1612
2015,420,1531
2015,220,871
2015,140,640
2015,500,998
2015,170,775
2015,200,806
2015,310,1264
2015,580,243
2015,560,360
2015,440,1424
2015,460,1365
2015,330,1405
2015,380,1599
2015,260,1041
2015,240,959
2015,370,1632
2015,100,587
2015,160,702
2015,480,1237
2015,120,585
2015,350,1449
2015,290,1195
2015,470,1301
2015,130,582
2015,410,1623
2015,360,1441
2015,530,640
2015,510,845
2015,180,757
2015,430,1528
2014,590,155
2014,600,162
2014,210,850
2014,150,709
2014,450,1306
2014,570,245
2014,550,449
2014,270,1061
2014,390,1509
2014,110,575
2014,250,906
2014,490,1070
2014,340,1396
2014,280,1085
2014,0,4771
2014,230,884
2014,190,845
2014,320,1339
2014,300,1169
2014,540,489
2014,520,730
2014,400,1541
2014,420,1444
2014,220,889
2014,140,621
2014,500,938
2014,170,781
2014,200,771
2014,310,1249
2014,580,219
2014,560,332
2014,440,1410
2014,460,1308
2014,330,1348
2014,380,1524
2014,260,1056
2014,240,891
2014,370,1501
2014,100,581
2014,160,755
2014,480,1153
2014,120,605
2014,350,1482
2014,290,1191
2014,470,1258
2014,130,657
2014,410,1504
2014,360,1530
2014,530,663
2014,510,868
2014,180,797
2014,430,1453
2008,590,159
2008,600,199
2008,210,873
2008,150,708
2008,450,1088
2008,570,242
2008,550,383
2008,270,1054
2008,390,1436
2008,110,657
2008,250,1011
2008,490,796
2008,340,1306
2008,280,1122
2008,0,6021
2008,230,955
2008,190,853
2008,320,1297
2008,300,1184
2008,540,425
2008,520,564
2008,400,1319
2008,420,1222
2008,220,922
2008,140,783
2008,500,767
2008,170,812
2008,200,823
2008,310,1228
2008,580,210
2008,560,325
2008,440,1125
2008,460,1012
2008,330,1250
2008,380,1339
2008,260,1027
2008,240,972
2008,370,1395
2008,100,653
2008,160,768
2008,480,959
2008,120,736
2008,350,1406
2008,290,1140
2008,470,997
2008,130,696
2008,410,1272
2008,360,1425
2008,530,542
2008,510,637
2008,180,791
2008,430,1258
2016,590,181
2016,600,152
2016,210,828
2016,150,716
2016,450,1455
2016,570,295
2016,550,423
2016,270,1070
2016,390,1560
2016,110,540
2016,250,973
2016,490,1206
2016,340,1480
2016,280,1168
2016,0,4748
2016,230,908
2016,190,806
2016,320,1318
2016,300,1217
2016,540,538
2016,520,741
2016,400,1645
2016,420,1573
2016,220,931
2016,140,632
2016,500,1081
2016,170,693
2016,200,846
2016,310,1329
2016,580,194
2016,560,379
2016,440,1407
2016,460,1399
2016,330,1394
2016,380,1594
2016,260,1118
2016,240,922
2016,370,1551
2016,100,576
2016,160,682
2016,480,1210
2016,120,637
2016,350,1564
2016,290,1193
2016,470,1264
2016,130,671
2016,410,1595
2016,360,1543
2016,530,622
2016,510,891
2016,180,807
2016,430,1442
2011,590,171
2011,600,162
2011,210,827
2011,150,726
2011,450,1214
2011,570,278
2011,550,431
2011,270,1151
2011,390,1443
2011,110,699
2011,250,1008
2011,490,916
2011,340,1447
2011,280,1114
2011,0,5928
2011,230,925
2011,190,882
2011,320,1296
2011,300,1252
2011,540,516
2011,520,665
2011,400,1434
2011,420,1304
2011,220,954
2011,140,750
2011,500,758
2011,170,772
2011,200,852
2011,310,1269
2011,580,212
2011,560,312
2011,440,1300
2011,460,1188
2011,330,1344
2011,380,1478
2011,260,1025
2011,240,958
2011,370,1527
2011,100,672
2011,160,778
2011,480,1044
2011,120,666
2011,350,1419
2011,290,1182
2011,470,1066
2011,130,709
2011,410,1419
2011,360,1385
2011,530,597
2011,510,743
2011,180,823
2011,430,1350
2010,590,151
2010,600,136
2010,210,932
2010,150,732
2010,450,1159
2010,570,276
2010,550,395
2010,270,1086
2010,390,1439
2010,110,651
2010,250,1029
2010,490,931
2010,340,1352
2010,280,1102
2010,0,6244
2010,230,1002
2010,190,818
2010,320,1297
2010,300,1234
2010,540,457
2010,520,646
2010,400,1427
2010,420,1356
2010,220,994
2010,140,766
2010,500,825
2010,170,774
2010,200,929
2010,310,1338
2010,580,196
2010,560,349
2010,440,1227
2010,460,1150
2010,330,1389
2010,380,1462
2010,260,1074
2010,240,1033
2010,370,1483
2010,100,638
2010,160,759
2010,480,957
2010,120,685
2010,350,1427
2010,290,1210
2010,470,1044
2010,130,686
2010,410,1426
2010,360,1457
2010,530,567
2010,510,702
2010,180,785
2010,430,1296
2013,590,158
2013,600,152
2013,210,881
2013,150,760
2013,450,1303
2013,570,271
2013,550,451
2013,270,1002
2013,390,1418
2013,110,628
2013,250,977
2013,490,1004
2013,340,1327
2013,280,1099
2013,0,5138
2013,230,882
2013,190,795
2013,320,1173
2013,300,1190
2013,540,479
2013,520,684
2013,400,1405
2013,420,1358
2013,220,897
2013,140,672
2013,500,870
2013,170,735
2013,200,805
2013,310,1230
2013,580,213
2013,560,320
2013,440,1341
2013,460,1228
2013,330,1283
2013,380,1484
2013,260,1033
2013,240,861
2013,370,1436
2013,100,574
2013,160,725
2013,480,1095
2013,120,616
2013,350,1376
2013,290,1129
2013,470,1159
2013,130,646
2013,410,1474
2013,360,1464
2013,530,616
2013,510,751
2013,180,763
2013,430,1436
2012,590,178
2012,600,165
2012,210,865
2012,150,641
2012,450,1250
2012,570,283
2012,550,450
2012,270,1028
2012,390,1458
2012,110,629
2012,250,920
2012,490,969
2012,340,1321
2012,280,1052
2012,0,5276
2012,230,947
2012,190,811
2012,320,1192
2012,300,1134
2012,540,527
2012,520,698
2012,400,1448
2012,420,1356
2012,220,849
2012,140,694
2012,500,888
2012,170,738
2012,200,803
2012,310,1201
2012,580,220
2012,560,362
2012,440,1305
2012,460,1122
2012,330,1291
2012,380,1390
2012,260,993
2012,240,975
2012,370,1343
2012,100,592
2012,160,725
2012,480,1038
2012,120,713
2012,350,1415
2012,290,1126
2012,470,1189
2012,130,689
2012,410,1378
2012,360,1425
2012,530,614
2012,510,806
2012,180,767
2012,430,1340
